date,country,cases,deaths,recoveries
2003-03-17,Germany,1,0,0
2003-03-17,Canada,8,2,0
2003-03-17,Singapore,20,0,0
2003-03-17,"Hong Kong SAR, China",95,1,0
2003-03-17,Switzerland,2,0,0
2003-03-17,Thailand,1,0,0
2003-03-17,Viet Nam,40,1,0
2003-03-18,Germany,2,0,0
2003-03-18,Canada,8,2,0
2003-03-18,China,0,0,0
2003-03-18,Singapore,23,0,0
2003-03-18,"Hong Kong SAR, China",123,1,0
2003-03-18,"Taiwan, China",3,0,0
2003-03-18,Thailand,1,0,0
2003-03-18,Viet Nam,57,1,0
2003-03-18,Slovenia,1,0,0
2003-03-18,United Kingdom,1,0,0
2003-03-19,Canada,8,2,0
2003-03-19,China,0,0,0
2003-03-19,Germany,1,0,0
2003-03-19,"Hong Kong SAR, China",150,5,0
2003-03-19,Singapore,31,0,0
2003-03-19,Slovenia,1,0,0
2003-03-19,Spain,1,0,0
2003-03-19,"Taiwan, China",3,0,0
2003-03-19,Thailand,1,0,0
2003-03-19,United Kingdom,1,0,0
2003-03-19,United States,11,0,0
2003-03-19,Viet Nam,56,2,0
2003-03-20,Canada,9,2,0
2003-03-20,China,0,0,0
2003-03-20,Germany,1,0,0
2003-03-20,"Hong Kong SAR, China",173,6,0
2003-03-20,Singapore,34,0,0
2003-03-20,Slovenia,1,0,0
2003-03-20,Spain,1,0,0
2003-03-20,Switzerland,7,0,0
2003-03-20,"Taiwan, China",4,0,0
2003-03-20,Thailand,1,0,0
2003-03-20,United Kingdom,2,0,0
2003-03-20,United States,11,0,0
2003-03-20,Viet Nam,62,2,0
2003-03-21,Canada,9,2,0
2003-03-21,China,0,0,0
2003-03-21,Germany,1,0,0
2003-03-21,"Hong Kong SAR, China",203,6,0
2003-03-21,Italy,1,0,0
2003-03-21,Republic of Ireland,1,0,0
2003-03-21,Singapore,39,0,0
2003-03-21,Slovenia,1,0,0
2003-03-21,Spain,1,0,0
2003-03-21,Switzerland,7,0,0
2003-03-21,"Taiwan, China",6,0,0
2003-03-21,Thailand,4,0,0
2003-03-21,United Kingdom,2,0,0
2003-03-21,United States,13,0,0
2003-03-21,Viet Nam,62,2,0
2003-03-22,Canada,9,2,0
2003-03-22,China,0,0,0
2003-03-22,Germany,2,0,0
2003-03-22,"Hong Kong SAR, China",222,7,0
2003-03-22,Italy,2,0,0
2003-03-22,Republic of Ireland,1,0,0
2003-03-22,Singapore,44,0,0
2003-03-22,Slovenia,1,0,0
2003-03-22,Spain,1,0,0
2003-03-22,Switzerland,7,0,0
2003-03-22,"Taiwan, China",6,0,0
2003-03-22,Thailand,4,0,0
2003-03-22,United Kingdom,2,0,0
2003-03-22,United States,22,0,0
2003-03-22,Viet Nam,63,2,0
2003-03-24,Canada,11,3,0
2003-03-24,China,0,0,0
2003-03-24,France,1,0,0
2003-03-24,Germany,4,0,0
2003-03-24,"Hong Kong SAR, China",260,10,0
2003-03-24,Italy,2,0,0
2003-03-24,Republic of Ireland,1,0,0
2003-03-24,Singapore,65,0,0
2003-03-24,Spain,1,0,0
2003-03-24,Switzerland,2,0,0
2003-03-24,"Taiwan, China",6,0,0
2003-03-24,Thailand,5,0,0
2003-03-24,United Kingdom,3,0,0
2003-03-24,United States,37,0,0
2003-03-24,Viet Nam,58,4,0
2003-03-25,Canada,11,3,0
2003-03-25,China,0,0,0
2003-03-25,France,1,0,0
2003-03-25,Germany,4,0,0
2003-03-25,"Hong Kong SAR, China",286,10,0
2003-03-25,Italy,2,0,0
2003-03-25,Republic of Ireland,1,0,0
2003-03-25,Singapore,69,0,0
2003-03-25,Switzerland,2,0,0
2003-03-25,"Taiwan, China",6,0,0
2003-03-25,Thailand,5,0,0
2003-03-25,United Kingdom,3,0,0
2003-03-25,United States,39,0,0
2003-03-25,Viet Nam,58,4,0
2003-03-26,Canada,19,3,0
2003-03-26,China,792,31,0
2003-03-26,"Hong Kong SAR, China",316,10,0
2003-03-26,"Taiwan, China",6,0,0
2003-03-26,France,1,0,0
2003-03-26,Germany,4,0,0
2003-03-26,Italy,3,0,0
2003-03-26,Republic of Ireland,2,0,0
2003-03-26,Singapore,74,1,0
2003-03-26,Switzerland,2,0,0
2003-03-26,Thailand,3,0,0
2003-03-26,United Kingdom,3,0,0
2003-03-26,United States,40,0,0
2003-03-26,Viet Nam,58,4,0
2003-03-27,Canada,28,3,0
2003-03-27,China,806,34,0
2003-03-27,"Hong Kong SAR, China",367,10,0
2003-03-27,"Taiwan, China",6,0,0
2003-03-27,France,1,0,0
2003-03-27,Germany,4,0,0
2003-03-27,Italy,2,0,0
2003-03-27,Republic of Ireland,2,0,0
2003-03-27,Romania,3,0,0
2003-03-27,Singapore,78,2,0
2003-03-27,Switzerland,2,0,0
2003-03-27,Thailand,3,0,0
2003-03-27,United Kingdom,3,0,0
2003-03-27,United States,45,0,0
2003-03-27,Viet Nam,58,4,0
2003-03-28,Canada,29,3,0
2003-03-28,China,806,34,0
2003-03-28,"Hong Kong SAR, China",425,10,0
2003-03-28,"Taiwan, China",10,0,0
2003-03-28,France,1,0,0
2003-03-28,Germany,4,0,0
2003-03-28,Italy,2,0,0
2003-03-28,Republic of Ireland,2,0,0
2003-03-28,Romania,3,0,0
2003-03-28,Singapore,86,2,0
2003-03-28,Switzerland,2,0,0
2003-03-28,Thailand,3,0,0
2003-03-28,United Kingdom,3,0,0
2003-03-28,United States,51,0,0
2003-03-28,Viet Nam,58,4,0
2003-03-29,Canada,37,3,0
2003-03-29,China,806,34,0
2003-03-29,"Hong Kong SAR, China",470,10,0
2003-03-29,"Taiwan, China",10,0,0
2003-03-29,France,1,0,0
2003-03-29,Germany,4,0,0
2003-03-29,Italy,2,0,0
